Variant,Draft,Beam,Water,Fuel,Cabins,Displacement
Hanse 495,7.81,15.58,171.71,79.25,3.0,29938.8
Hanse 505,6.42,15.58,170.0,60.0,3.0,31173.4
Hanse 508,6.5,15.58,166.0,74.0,3.0,32408.0
Hanse 531,7.234999999999999,17.25,170.75,82.0,3.0,41226.0
Hanse 540,7.97,16.11,175.5,90.0,3.0,41226.0
Hanse 540e,7.97,16.11,180.25,98.0,3.0,41226.0
Hanse 545,8.0,16.08,185.0,106.0,3.0,41226.0
Hanse 548,7.25,16.58,203.0,137.0,4.0,43211.0
Hanse 575,9.33,17.0,214.0,138.0,3.3333333333333335,42990.0
Hanse 588,7.42,17.08,203.0,137.0,2.666666666666667,50265.0
Harmony 38,4.92,12.53,79.25,52.83,2.0,42108.0
Harmony 42 Elegance,6.4,13.09,133.41,55.48,3.0,33951.0
Harmony 47,6.89,13.0,104.205,45.239999999999995,3.0,25794.0
Hunter 38,5.945,12.08,75.0,35.0,2.857142857142857,17637.0
Hunter 380,5.0,12.58,75.0,35.5,2.7142857142857144,18069.0
Hunter 39,5.0,12.92,75.0,36.0,2.5714285714285716,18501.0
Hunter 40,7.0,13.17,90.0,50.0,2.428571428571429,18950.5
Hunter 41,5.0,13.25,100.0,36.0,2.2857142857142856,19400.0
Hunter 41 Aft Cockpit,6.5,13.25,100.12,35.93,2.142857142857143,19360.0
Hunter 41 Deck Salon,5.5,13.33,140.0,51.0,2.0,20885.333333333332
Hunter 41 DS,5.5,13.33,140.0,51.0,2.0,22410.666666666668
Hunter 44,5.0,14.5,140.0,51.0,2.0,23936.0
Hunter 44 Deck Salon,5.0,14.5,140.0,66.0,2.0,23936.0
Hunter 44 DS,5.0,14.5,140.0,66.0,2.0,23936.0
Hunter 45 Center Cockpit,5.0,14.5,149.0,76.0,2.0,22936.0
Hunter 45 DS,5.0,14.5,140.0,66.0,2.0,22936.0
Hunter 45cc,5.0,14.5,149.0,75.0,2.0,22936.0
Hunter 466,5.25,14.0,200.0,100.0,3.0,27874.5
Hunter 49,5.5,14.75,200.0,150.0,3.0,32813.0
Hunter 50,4.92,14.01,126.8,211.34,3.0,31656.533333333333
Hunter 50 Center Cockpit,5.5,14.75,192.0,162.0,2.0,30500.066666666666
Hunter AC 50,6.99,14.76,199.98,150.05,2.0,29343.6
Hunter M-H 40,7.0,13.17,90.0,50.0,2.0,28951.949999999997
Hunter OV,6.21,13.585,345.0,75.0,2.0,28560.3
Hunter Passage 456,5.42,14.0,600.0,100.0,2.0,28168.65
Hylas 46,6.5,13.75,140.0,180.0,2.125,27777.0
Hylas 49,6.33,14.25,200.0,195.0,2.25,39167.0
Island Packet 370,4.25,13.08,160.0,75.0,2.375,23800.0
Island Packet 420,4.83,14.25,250.0,160.0,2.5,28400.0
Island Packet 440,5.17,14.0,250.0,150.0,2.625,32000.0
Island Packet 445,5.0,14.4,260.0,160.0,2.75,31648.166666666668
Island Packet 465,5.0,14.4,280.0,230.0,2.875,31296.333333333332
Island Packet 485,5.25,15.33,300.0,300.0,3.0,30944.5
Island Packet SP Cruiser,3.67,12.75,130.0,215.0,2.0,30592.666666666668
J boats J 122,6.92,11.75,53.0,18.5,2.0,30240.833333333332
J Boats J 122,6.92,11.75,53.0,18.5,2.0,29889.0
Jeanneau 39i,4.75,12.58,94.0,34.0,2.0,29537.166666666668
Jeanneau 409,5.5,13.0,290.0,52.83,2.0,29185.333333333332
Jeanneau 42 DS,7.17,13.5,93.78,34.34,2.5,28833.5
Jeanneau 45 Sun Odyssey Performance,6.73,14.34,238.0,63.4,3.0,28481.666666666668
Jeanneau 469,7.33,14.75,162.0,63.0,3.0,28129.833333333332
Jeanneau 49i,7.0,14.75,162.0,63.0,3.0,27778.0
Jeanneau 509,5.42,15.33,80.0,63.0,3.0,26874.090909090908
Jeanneau 51,7.42,15.42,169.0,63.0,3.0,25970.18181818182
Jeanneau 53,5.83,15.58,251.0,63.0,3.0,25066.272727272728
Jeanneau Sun Odyessy 41DS,6.053333333333334,13.08,185.0,53.333333333333336,3.0,24162.363636363636
Jeanneau Sun Odyssey  42 DS,6.276666666666666,12.705,119.0,43.66666666666667,3.0,23258.454545454544
Jeanneau Sun Odyssey 389,6.5,12.33,53.0,34.0,3.0,22354.545454545456
Jeanneau Sun Odyssey 39 DS,6.56,12.73,93.78,34.34,2.0,21450.636363636364
Jeanneau Sun Odyssey 39i,6.5,12.75,94.0,34.0,2.0,20546.727272727272
Jeanneau Sun Odyssey 39i Performance,7.08,12.75,188.0,68.0,2.3333333333333335,19642.818181818184
Jeanneau Sun Odyssey 40,6.665,12.92,136.5,52.0,2.6666666666666665,18738.909090909092
Jeanneau Sun Odyssey 40.3,6.25,12.92,85.0,36.0,3.0,17835.0
Jeanneau SUN ODYSSEY 40.3,5.833333333333333,12.946666666666667,102.8,40.25,3.0,17730.5
Jeanneau Sun Odyssey 40.9,5.416666666666667,12.973333333333333,120.6,44.5,3.0,17626.0
Jeanneau Sun Odyssey 409,5.0,13.0,138.4,48.75,3.0,17521.5
Jeanneau Sun Odyssey 410,7.0,13.08,156.2,53.0,2.0,17417.0
Jeanneau Sun Odyssey 419,6.83,13.08,174.0,53.0,3.0,17328.0
Jeanneau Sun Odyssey 41DS,6.665,13.08,147.0,51.5,3.25,21902.75
Jeanneau Sun Odyssey 42,6.5,13.42,120.0,50.0,3.5,26477.5
Jeanneau Sun Odyssey 42 DS,7.17,13.5,93.78,34.34,3.75,31052.25
Jeanneau Sun Odyssey 42i,6.65,13.35,92.0,46.0,4.0,35627.0
Jeanneau Sun Odyssey 42i Performance,5.25,13.48,93.78,34.34,3.5,19003.6
Jeanneau Sun Odyssey 43 DS,6.5,13.67,146.0,53.0,3.0,19494.149999999998
Jeanneau Sun Odyssey 439,5.17,13.92,87.0,53.0,4.0,19984.699999999997
Jeanneau Sun Odyssey 44 DS,5.33,13.83,86.0,56.0,3.0,20475.25
Jeanneau Sun Odyssey 440,7.17,14.0,140.0,53.0,3.0,20965.8
Jeanneau Sun Odyssey 449,6.903333333333333,13.83,87.18,52.83,3.3333333333333335,21456.35
Jeanneau Sun Odyssey 44i,6.636666666666667,14.085,99.065,54.155,3.6666666666666665,21946.9
Jeanneau Sun Odyssey 45,6.37,14.34,110.95,55.48,4.0,22437.45
Jeanneau Sun Odyssey 45 DS,6.73,14.34,162.0,63.4,3.0,22928.0
Jeanneau Sun Odyssey 45 Performance,7.55,14.34,162.0,63.2,2.0,23343.285714285714
Jeanneau Sun Odyssey 469,7.33,14.75,162.0,63.0,3.0,23758.571428571428
Jeanneau Sun Odyssey 479,6.69,14.67,169.0,63.0,3.0,24173.85714285714
Jeanneau Sun Odyssey 48 DS,6.05,14.7,163.75,67.16499999999999,3.5,24589.14285714286
Jeanneau Sun Odyssey 49,5.41,14.73,158.5,71.33,4.0,25004.428571428572
Jeanneau Sun Odyssey 49 DS,6.73,14.47,161.14249999999998,69.3475,4.25,25419.714285714286
Jeanneau Sun Odyssey 49 Owners version,6.8933333333333335,14.556666666666667,163.785,67.365,4.5,25835.0
Jeanneau Sun Odyssey 49 Owners Version,7.056666666666667,14.643333333333334,166.4275,65.3825,4.75,26250.285714285714
Jeanneau Sun Odyssey 490,7.220000000000001,14.73,169.07,63.4,5.0,26665.571428571428
Jeanneau Sun Odyssey 49DS,7.383333333333334,14.73,151.8025,63.4,4.5,27080.857142857145
Jeanneau Sun Odyssey 49i,7.546666666666667,14.73,134.535,63.4,4.0,27496.142857142855
Jeanneau Sun Odyssey 49i Performance,7.71,14.73,117.2675,63.4,3.5,27911.428571428572
Jeanneau Sun Odyssey 50 DS,7.08,14.67,100.0,126.0,3.0,28326.714285714286
Jeanneau Sun Odyssey 509,5.42,15.33,80.0,63.0,3.0,28742.0
Jeanneau Sun Odyssey 519,5.67,13.33,163.0,126.0,4.0,29157.285714285714
Jeanneau Sun Odyssey 53,6.585,14.665,337.5,171.0,3.5,29572.571428571428
Jeanneau Sun Odyssey 54 DS,7.5,16.0,512.0,216.0,3.0,29987.857142857145
Malo 40,7.398,15.254999999999999,450.9342857142857,191.93571428571428,3.0,30403.142857142855
