Variant,Draft,Beam,Water,Fuel,Cabins,Displacement
Hunter 41,5,13.25,100,36,, 19,400 
Hunter 41 Aft Cockpit,6.5,13.25,100.12,35.93,,19360
Hunter 41 Deck Salon,5.5,13.33,140,51,2,
Hunter 41 DS,5.5,13.33,140,51,2,
Hunter 44,5,14.5,140,51,, 23,936 
Hunter 44 Deck Salon,5,14.5,140,66,, 23,936 
Hunter 44 DS,5,14.5,140,66,, 23,936 
Hunter 45 Center Cockpit,5,14.5,149,76,2, 22,936 
Hunter 45 DS,,14.5,140,66,2,
Hunter 45cc,5,14.5,149,75,2, 22,936 
Hunter 466,,14,200,100,3,
Hunter 49,5.5,14.75,200,150,, 32,813 
Hunter 50,4.92,14.01,126.8,211.34,3,
Hunter 50 Center Cockpit,5.5,14.75,192,162,2,
Hunter AC 50,6.99,14.76,199.98,150.05,,29343.6
Hunter M-H 40,7,13.17,90,50,,
Hunter OV,,,,,,
Hunter Passage 456,5.42,14,600,100,2,
Hylas 46,6.5,13.75,140,180,, 27,777 
Hylas 49,6.33,14.25,200,195,, 39,167 
Island Packet 370,4.25,13.08,160,75,, 23,800 
Island Packet 420,4.83,14.25,250,160,, 28,400 
Island Packet 440,5.17,14,250,150,, 32,000 
Island Packet 445,5,14.4,260,160,,
Island Packet 465,5,14.4,,,,
Island Packet 485,5.25,15.33,300,300,3,
Island Packet SP Cruiser,3.67,12.75,130,215,2,
J boats J 122,6.92,11.75,53,18.5,2,
J Boats J 122,6.92,11.75,53,18.5,2,
Jeanneau 39i,4.75,12.58,94,34,2,
Jeanneau 409,5.5,13,290,52.83,2,
Jeanneau 42 DS,7.17,13.5,93.78,34.34,,
Jeanneau 45 Sun Odyssey Performance,6.73,14.34,238,63.4,3,
Jeanneau 469,7.33,14.75,162,63,3,
Jeanneau 49i,7,14.75,162,63,3, 27,778 
Jeanneau 509,5.42,15.33,80,63,3,
Jeanneau 51,7.42,15.42,169,63,3,
Jeanneau 53,5.83,15.58,251,63,,
Jeanneau Sun Odyessy 41DS,,13.08,,,,
Jeanneau Sun Odyssey  42 DS,,,,,,
Jeanneau Sun Odyssey 389,6.5,12.33,53,34,3,
Jeanneau Sun Odyssey 39 DS,6.56,12.73,93.78,34.34,2,
Jeanneau Sun Odyssey 39i,6.5,12.75,94,34,2,
Jeanneau Sun Odyssey 39i Performance,7.08,12.75,188,68,,
Jeanneau Sun Odyssey 40,,12.92,,,,
Jeanneau Sun Odyssey 40.3,6.25,12.92,85,36,3,17835
Jeanneau SUN ODYSSEY 40.3,,,,,,
Jeanneau Sun Odyssey 40.9,,,,,,
Jeanneau Sun Odyssey 409,5,13,,,3,
Jeanneau Sun Odyssey 410,7,13.08,,53,2,17417
Jeanneau Sun Odyssey 419,6.83,13.08,174,53,3,17328
Jeanneau Sun Odyssey 41DS,,13.08,,,,
